"id","user_location","user_city","user_country"
1.341096990655e+18,"DEUTSCHLAND",NA,NA
1341087391319126016,"SRI LANKA",NA,NA
1341079532774821888,"DENMARK",NA,NA
1341070426949107712,"PHILIPPINES",NA,NA
1344606444180668416,"UNITED STATES",NA,NA
1342899826506153984,"UNITED STATES",NA,NA
1342882141894553600,"SAINT LOUIS, MO, USA",NA,NA
1342865699442749440,"UAE",NA,NA
1342839475655897088,"GUYANA",NA,NA
1342802157758603264,"CYPRUS",NA,NA
1342797785486127104,"NOIDA, INDIA",NA,NA
1342767954874785792,"CYPRUS",NA,NA
1342761991367233536,"THE NETHERLANDS",NA,NA
1344241074529656832,"INDIA",NA,NA
1343491329976840192,"GAUTENG",NA,NA
1343222274984439808,"𝓑𝓮𝓪𝓾𝓷𝓮",NA,NA
1343219051238215680,"سیارہ زمین",NA,NA
1.343213387594e+18,"UK",NA,NA
1.343208250272e+18,"USA",NA,NA
1343164952333479936,"ISRAEL",NA,NA
1343105303819259904,"ISRAEL",NA,NA
1343083354971807744,"INDIA",NA,NA
1343046584091639808,"MALAYSIA",NA,NA
1343014950000709632,"MALAYSIA",NA,NA
1343669422251274240,"PLANET AQUARIUS",NA,NA
1343655375682334720,"BELGIQUE",NA,NA
1343650463221219328,"BELGIQUE",NA,NA
1343571935171645440,"US 🍎🦞🇺🇸🇫🇷👩🏾‍💻📊⛵️♻️🌊",NA,NA
1343463582462144512,"MALAYSIA",NA,NA
1343454933144764416,"I AM EVERYWHERE 😉",NA,NA
1343431690706956288,"ST LOUIS, MO",NA,NA
1346247176062705664,"BETWIXT",NA,NA
1345204289136824320,"新潟市",NA,NA
1344709219711377408,"SCOTLAND",NA,NA
1343924857810116608,"BELGIUM",NA,NA
1343907088662212608,"ISRAEL",NA,NA
1343896189553414144,"新潟市",NA,NA
1343893627404242944,"IRELAND",NA,NA
1343881892584538112,"新潟市",NA,NA
1343871547841404928,"LONDRA, GRAN BRETAGNA",NA,NA
1343871453834473472,"EUROPE",NA,NA
1343867233446064128,"CYPRUS",NA,NA
1343834010271674368,"BENGALURU, INDIA",NA,NA
1343830455498510336,"ÜRÜMCHI, UYGHURISTAN",NA,NA
1346546461786386432,"ALPES-MARITIMES, PROVENCE-ALPE",NA,NA
1344898910347800576,"HTRAE TALF",NA,NA
1344365137164165120,"UK",NA,NA
1344349322633216000,"BELGIË",NA,NA
1344346762232922112,"EGYPT",NA,NA
1344284775440379904,"BELGIQUE",NA,NA
1344282701629693952,"KERRY,IRELAND",NA,NA
1344266968728096768,"대한민국 서울",NA,NA
1344260780938719232,"BELGIQUE",NA,NA
1344253118410678272,"INDIA",NA,NA
1344223987702837248,"UK",NA,NA
1344186544249192448,"INDIA",NA,NA
1344160580605603840,"MALAYSIA & INDONESIA",NA,NA
1344015606262210560,"CYPRUS",NA,NA
1344008676638662656,"SPAIN",NA,NA
1344006866486120448,"BELGIUM",NA,NA
1343993675693641728,"EGYPT",NA,NA
1343977405678030848,"🇬🇧",NA,NA
1344753670819340288,"CDMX",NA,NA
1344693695736655872,"🇨🇱",NA,NA
1344674297441366016,"WISCONSIN, USA",NA,NA
1344658433811902464,"UNITED STATES",NA,NA
1344625749320478720,"UK",NA,NA
1344593007581011968,"WORLD",NA,NA
1344592626872426496,"UK",NA,NA
1344521839356354560,"TX",NA,NA
1345503173348364288,"🌍",NA,NA
1345351536872927232,"UNITED STATES",NA,NA
1345230998473207808,"CHILE",NA,NA
1345207977842626560,"新潟市",NA,NA
1345206621572456448,"INDIA",NA,NA
1345201214846238720,"INDIA",NA,NA
1345164194232946688,"MALAYSIA",NA,NA
1345139476901855232,"BELGIQUE",NA,NA
1345056137041727488,"BENGALURU, INDIA",NA,NA
1345029236956938240,"BENGALURU, INDIA",NA,NA
1344990838347059200,"BENGALURU, INDIA",NA,NA
1344920066433937408,"TEL AVIV",NA,NA
1344899420538605568,"INDIA",NA,NA
1344893549771427840,"INDIA",NA,NA
1344892025787670528,"ODISHA, INDIA",NA,NA
1344888519311781888,"SRI LANKA",NA,NA
1344882401835581440,"INDIA",NA,NA
1344878235289612288,"SRI LANKA",NA,NA
1344869684538081280,"MALAYSIA",NA,NA
1344861303370784768,"INDIA",NA,NA
1344842575086145536,"INDIA",NA,NA
1344838057048961024,"MALAYSIA",NA,NA
1344800580741574656,"FROM MI,VT,FL",NA,NA
1344781844839972864,"MALAYSIA",NA,NA
1345411427272634368,"CYPRUS",NA,NA
1345406151433850880,"🇲🇽",NA,NA
1347532422196375552,"FRANCE",NA,NA
1347131105703583744,"🌍",NA,NA
1345903807423766528,"45.498353,-73.660387",NA,NA
1345888668993654784,"INDIA",NA,NA
1345857669668634624,"USA",NA,NA
1345854738810753024,"ISRAEL",NA,NA
